"ID","MSPINDLE","MSP_DUR","MSP_F","MSP_FL","MSP_FU","MSP_SIZE","MSP_START","MSP_STAT","MSP_STOP"
"study_002","19",0.535000001,12.5,12.5,12.5,2,4451.065,1.22988906177111,4451.6
"study_001","190",0.480000001,9.375,9.375,9.375,1,8995.105,1.37895917156226,8995.585
"study_002","190",0.695000001,9.67861413012112,9.375,10.9375,3,4936.495,2.57309275045463,4937.19
"study_001","191",0.670000001,11.71875,11.71875,11.71875,1,9042.105,1.39672779014842,9042.775
"study_002","191",0.400000001,11.0250353950931,9.375,12.5,3,4955.125,3.93568538546454,4955.525
"study_001","192",0.530000001,9.375,9.375,9.375,1,9111.305,1.50440470014076,9111.835
"study_002","192",0.505000001,11.8989299786114,10.9375,12.5,4,4970.945,4.30192627905171,4971.45
"study_001","193",1.910000001,11.8573824818472,11.71875,12.109375,3,9165.31,1.55541519857089,9167.22
"study_002","193",0.825000001,10.9375,10.9375,10.9375,2,5010.555,1.30947004331903,5011.38
"study_001","194",0.780000001,13.7013881868768,13.28125,14.0625,2,9229.695,1.03452907656403,9230.475
"study_002","194",0.410000001,14.0625,14.0625,14.0625,1,5011.05,1.31697619403659,5011.46
"study_001","195",2.660000001,11.0597704998275,10.15625,11.328125,4,9233.65,2.10157559139864,9236.31
"study_002","195",1.535000001,12.0375975160087,9.375,15.625,7,5026.39,2.7226539892839,5027.925
"study_001","196",0.525000001,12.5,12.5,12.5,1,9246.32,1.04810694193517,9246.845
"study_002","196",0.745000001,11.2561853529833,9.375,13.28125,4,5062.645,2.58353858773272,5063.39
"study_001","197",1.055000001,11.71875,11.71875,11.71875,3,9281.355,2.04052179235165,9282.41
"study_002","197",0.635000001,15.625,15.625,15.625,3,5062.73,9.13471232355774,5063.365
"study_001","198",0.885000001,12.5,12.5,12.5,1,9282.995,1.0319777143485,9283.88
"study_002","198",0.485000001,9.375,9.375,9.375,1,5080.29,1.45813541073338,5080.775
"study_001","199",0.645000001,14.6572057009333,14.0625,15.625,3,9307.29,2.06914790718851,9307.935
"study_002","199",0.485000001,17.1875,17.1875,17.1875,2,5119.515,3.76153162005233,5120
"study_001","2",0.790000001,8.59375,8.59375,8.59375,1,6248.325,1.42201220623909,6249.115
"study_002","2",1.225000001,15.625,15.625,15.625,2,1922.94,1.43638018807328,1924.165
"study_001","20",1.010000001,13.28125,13.28125,13.28125,4,7299.66,5.15757581363573,7300.67
"study_002","20",0.935000001,10.5406954183881,10.15625,10.9375,2,4452.755,1.87679698814383,4453.69
"study_001","200",0.640000001,14.0625,14.0625,14.0625,2,9309.49,1.00738555715114,9310.13
"study_002","200",0.505000001,12.5,12.5,12.5,1,5123.205,1.28765436709567,5123.71
"study_001","201",0.625000001,14.0625,14.0625,14.0625,3,9366.41,1.75519481859338,9367.035
"study_002","201",0.630000001,9.375,9.375,9.375,1,5191.52,1.12966000836922,5192.15
"study_001","202",0.440000001,14.0625,14.0625,14.0625,1,9368.12,1.32212819571344,9368.56
"study_002","202",0.825000001,17.1875,17.1875,17.1875,1,5208.555,13.8634490704858,5209.38
"study_001","203",0.785000001,15.625,15.625,15.625,1,9396.29,1.06451705692831,9397.075
"study_002","203",0.870000001,13.9254281322336,12.5,14.0625,5,5208.61,8.05241850443401,5209.48
"study_001","204",0.855000001,11.8867283137131,10.9375,12.5,3,9432.65,2.03624353407492,9433.505
"study_002","204",1.380000001,9.765625,9.765625,9.765625,1,5232.985,0.876291245878555,5234.365
"study_001","205",0.445000001,12.5,12.5,12.5,1,9437.37,1.27301517182181,9437.815
"study_002","205",0.735000001,14.9579465618873,12.5,15.625,4,5238.355,3.6189717564121,5239.09
"study_001","206",0.425000001,10.0860856927044,9.375,10.9375,2,9446.76,4.18271424063719,9447.185
"study_002","206",0.765000001,10.5678872715728,9.375,10.9375,3,5240.755,3.12759793628452,5241.52
"study_001","207",0.850000001,12.1048367066753,10.9375,12.5,4,9465.51,2.11053529346854,9466.36
"study_002","207",0.740000001,9.375,9.375,9.375,1,5247.605,1.17445878181863,5248.345
"study_001","208",0.600000001,14.0625,14.0625,14.0625,2,9472.275,1.1263389361139,9472.875
"study_002","208",0.620000001,9.375,9.375,9.375,1,5274.395,1.02164436463351,5275.015
"study_001","209",0.805000001,11.9982124655443,11.71875,12.5,3,9476.11,1.21120754431238,9476.915
"study_002","209",0.555000001,9.375,9.375,9.375,1,5282.525,1.35051001267101,5283.08
"study_001","21",1.035000001,17.1875,17.1875,17.1875,1,7299.715,5.04710928055793,7300.75
"study_002","21",0.650000001,17.1875,17.1875,17.1875,2,4452.94,2.23796843354965,4453.59
"study_001","210",1.050000001,11.3724428785387,10.9375,11.71875,2,9478.345,1.3331356467147,9479.395
"study_002","210",0.425000001,9.375,9.375,9.375,1,5286.23,1.51187893856277,5286.655
"study_001","211",1.905000001,12.7176192440058,11.71875,14.0625,4,9480.23,1.61400806898696,9482.135
"study_002","211",0.625000001,9.375,9.375,9.375,1,5369.37,1.33562977629325,5369.995
"study_001","212",0.695000001,15.625,15.625,15.625,2,9484.775,1.29579703995057,9485.47
"study_002","212",0.635000001,9.375,9.375,9.375,1,5373.73,1.26387603606916,5374.365
"study_001","213",0.930000001,7.8125,7.8125,7.8125,1,9487.59,1.12428221220678,9488.52
"study_002","213",0.585000001,9.375,9.375,9.375,1,5393.21,1.20666007477874,5393.795
"study_001","214",2.245000001,14.0625,14.0625,14.0625,3,9492.515,4.68917581515869,9494.76
"study_002","214",1.855000001,15.625,15.625,15.625,2,5434.09,3.26518737071788,5435.945
"study_001","215",1.885000001,11.1564355469741,10.9375,11.328125,2,9492.55,2.17267319975974,9494.435
"study_002","215",0.745000001,13.28125,13.28125,13.28125,1,5434.265,2.74411113686011,5435.01
"study_001","216",1.250000001,8.59375,8.59375,8.59375,1,9493.07,2.2142848537276,9494.32
"study_002","216",0.670000001,10.9375,10.9375,10.9375,3,5434.42,3.28489902592588,5435.09
"study_001","217",2.080000001,14.0181498142736,11.328125,16.40625,5,9495.4,9.50992606524906,9497.48
"study_002","217",3.945000001,11.8650339408044,9.765625,13.28125,8,5436.735,3.34082190593211,5440.68
"study_001","218",1.370000001,8.59375,8.59375,8.59375,1,9495.615,7.70611674297609,9496.985
