"ID","CH","E","DOWN_AMP","DUR","N","P2P_AMP","SLOPE_NEG1","SLOPE_NEG2","SLOPE_POS1","SLOPE_POS2","UP_AMP"
"study_001","C4M1",271,-61.3496146722287,1.574375,8,116.0005358194,-167.850894981866,183.983724061757,148.186507173066,-187.039083716829,54.6509211471714
"study_002","C4M1",271,-61.4957336880313,1.575625,8,116.196790530369,-167.850398462132,184.161966487865,148.49230059363,-187.171019756392,54.7010568423372
"study_001","C4M1",272,-39.9942070340763,1.0275,4,85.1311653822068,-204.415151000021,293.663707903891,291.04612699413,-257.169524097456,45.1369583481305
"study_002","C4M1",272,-39.9942070340763,1.0275,4,85.1311653822068,-204.415151000021,293.663707903891,291.04612699413,-257.169524097456,45.1369583481305
"study_001","C4M1",273,-46.7204173614327,1.13785714285714,7,86.1084060081646,-196.63952555858,232.03082849877,193.862830174221,-209.343292583701,39.3879886467319
"study_002","C4M1",273,-46.7204173614327,1.13785714285714,7,86.1084060081646,-196.63952555858,232.03082849877,193.862830174221,-209.343292583701,39.3879886467319
"study_001","C4M1",274,-62.2398112513694,1.52944444444444,9,129.207608603322,-265.73446312194,182.153405154349,220.514652781543,-227.786746370016,66.9677973519525
"study_002","C4M1",274,-62.2398112513694,1.52944444444444,9,129.207608603322,-265.73446312194,182.153405154349,220.514652781543,-227.786746370016,66.9677973519525
"study_001","C4M1",275,-59.9898376015546,1.23166666666667,6,99.0040788159552,-251.548534022917,271.015927727405,200.584163586525,-133.985685334189,39.0142412144006
"study_002","C4M1",275,-59.9898376015546,1.23166666666667,6,99.0040788159552,-251.548534022917,271.015927727405,200.584163586525,-133.985685334189,39.0142412144006
"study_001","C4M1",276,-59.778556584366,1.51875,8,104.425355791255,-195.789548284365,166.772895176299,165.368148841973,-154.848622345097,44.6467992068886
"study_002","C4M1",276,-59.778556584366,1.51875,8,104.425355791255,-195.789548284365,166.772895176299,165.368148841973,-154.848622345097,44.6467992068886
"study_001","C4M1",277,-66.0489904916243,1.599375,8,132.225439687167,-189.039517327059,232.073975922925,273.191088346623,-152.412581038745,66.1764491955429
"study_002","C4M1",277,-66.0489904916243,1.599375,8,132.225439687167,-189.039517327059,232.073975922925,273.191088346623,-152.412581038745,66.1764491955429
"study_001","C4M1",278,-72.0042435322429,1.544,5,124.471359449537,-199.672130402958,234.488004250098,184.287294255411,-193.172676932895,52.467115917294
"study_002","C4M1",278,-72.0042435322429,1.544,5,124.471359449537,-199.672130402958,234.488004250098,184.287294255411,-193.172676932895,52.467115917294
"study_001","C4M1",279,-61.0290635854793,1.546,10,116.623519678362,-183.896642379982,252.861825142456,175.381562881331,-171.456499278497,55.5944560928823
"study_002","C4M1",279,-61.0290635854793,1.546,10,116.623519678362,-183.896642379982,252.861825142456,175.381562881331,-171.456499278497,55.5944560928823
"study_001","C4M1",280,-64.3705251501586,1.65944444444444,9,125.003344278572,-193.647473678786,211.583360161706,221.355684216749,-148.08401562808,60.6328191284138
"study_002","C4M1",280,-64.3705251501586,1.65944444444444,9,125.003344278572,-193.647473678786,211.583360161706,221.355684216749,-148.08401562808,60.6328191284138
"study_001","C4M1",281,-46.4805754037979,1.67444444444444,9,97.8867883595507,-85.8506569670709,188.246919753704,229.298901523335,-206.472426539638,51.4062129557528
"study_002","C4M1",281,-46.4805754037979,1.67444444444444,9,97.8867883595507,-85.8506569670709,188.246919753704,229.298901523335,-206.472426539638,51.4062129557528
"study_001","C4M1",282,-56.6706560739062,1.3675,10,101.012440869324,-185.134028442933,192.005963116061,170.682801132517,-139.622204084084,44.3417847954182
"study_002","C4M1",282,-56.6706560739062,1.3675,10,101.012440869324,-185.134028442933,192.005963116061,170.682801132517,-139.622204084084,44.3417847954182
"study_001","C4M1",283,-54.208642978934,1.476875,8,124.056504113836,-223.19341577501,183.724656285279,301.846400920756,-176.55854939445,69.8478611349016
"study_002","C4M1",283,-54.208642978934,1.476875,8,124.056504113836,-223.19341577501,183.724656285279,301.846400920756,-176.55854939445,69.8478611349016
